date,city,expenses
01.01.2019,берлин,33400.30
02.01.2019,берлин,24119.02
03.01.2019,берлин,20598.21
04.01.2019,берлин,22371.32
05.01.2019,берлин,52892.92
06.01.2019,берлин,58884.37
07.01.2019,берлин,18454.01
08.01.2019,берлин,50679.42
09.01.2019,берлин,45348.56
10.01.2019,берлин,42656.18
01.02.2019,лондон,63931.75
02.02.2019,лондон,19339.68
03.02.2019,лондон,26781.75
04.02.2019,лондон,26350.00
05.02.2019,лондон,19148.41
06.02.2019,лондон,60035.71
07.02.2019,лондон,56848.41
08.02.2019,лондон,28797.62
09.02.2019,лондон,61365.87
10.02.2019,лондон,55246.83
01.03.2019,москва,297405.22
02.03.2019,москва,551556.49
03.03.2019,москва,153423.51
04.03.2019,москва,521325.97
05.03.2019,москва,485479.14
06.03.2019,москва,106031.63
07.03.2019,москва,179371.31
08.03.2019,москва,226359.31
09.03.2019,москва,614981.90
10.03.2019,москва,427769.10
01.04.2019,токио,1624235.88
02.04.2019,токио,2728934.01
03.04.2019,токио,4926611.95
04.04.2019,токио,3982568.31
05.04.2019,токио,5349076.57
06.04.2019,токио,2738006.26
07.04.2019,токио,1462296.14
08.04.2019,токио,847121.72
09.04.2019,токио,2515509.23
10.04.2019,токио,3541883.57
